id,学部,学科
100,法学部,第1類・第2類・第3類
200,医学部,医学科
201,,健康総合科学科
300,工学部,社会基盤学科＜社会基盤学A＞
301,,社会基盤学科＜社会基盤学B＞
302,,社会基盤学科＜社会基盤学C＞
303,,建築学科＜建築学＞
304,,都市工学科＜都市環境工学＞
305,,都市工学科＜都市計画＞
306,,機械工学科＜機械工学A＞
307,,機械情報工学科＜機械工学B＞
308,,航空宇宙学科＜航空宇宙学＞
309,,精密工学科＜精密工学＞
310,,電子情報工学科＜電子情報工学＞
311,,電気電子工学科＜電気電子工学＞
312,,物理工学科＜応用物理・物理工学＞
313,,計数工学科＜計数工学・数理／システム情報＞
314,,マテリアル工学科＜マテリアル工学A＞
315,,マテリアル工学科＜マテリアル工学B＞
316,,マテリアル工学科＜マテリアル工学C＞
317,,応用化学科＜応用化学＞
318,,化学システム工学科＜化学システム工学＞
319,,化学生命工学科＜化学生命工学＞
320,,システム創成学科＜システム創成A＞
321,,システム創成学科＜システム創成B＞
322,,システム創成学科＜システム創成C＞
400,文学部,人文学科＜思想文化＞
401,,人文学科＜歴史文化／日本史学＞
402,,人文学科＜歴史文化／東洋史学＞
403,,人文学科＜歴史文化／西洋史学＞
404,,人文学科＜歴史文化／考古学＞
405,,人文学科＜歴史文化／美術史学＞
406,,人文学科＜言語文化＞
407,,人文学科＜心理学＞
408,,人文学科＜社会心理学＞
409,,人文学科＜社会学＞
500,理学部,数学
501,,情報科学
502,,物理学
503,,天文学
504,,地球惑星物理学
505,,地球惑星環境学
506,,化学
507,,生物化学
508,,生物情報科学
509,,生物学
600,農学部,応用生命科学＜生命化学・工学＞
601,,応用生命科学＜応用生物学＞
602,,応用生命科学＜森林生物科学＞
603,,応用生命科学＜水圏生物科学＞
604,,応用生命科学＜動物生命システム科学＞
605,,応用生命科学＜生物素材科学＞
606,,環境資源科学＜緑地環境学＞
607,,環境資源科学＜森林環境資源科学＞
608,,環境資源科学＜木質構造科学＞
609,,環境資源科学＜生物・環境工学＞
610,,環境資源科学＜農業・資源経済学＞
611,,環境資源科学＜フィールド科学＞
612,,環境資源科学＜国際開発農学＞
613,,獣医学課程獣医学専修
700,経済学部,経済学部・経営学科・金融学科
800,教養学部,教養学科＜超域文化科学＞
801,,教養学科＜地域文化研究＞
802,,教養学科＜総合社会科学＞
803,,統合自然科学科＜数理自然科学＞
804,,統合自然科学科＜物質基礎科学＞
805,,統合自然科学科＜統合生命科学＞
806,,統合自然科学科＜認知行動科学＞
807,,学際科学科＜A群＞
808,,学際科学科＜B群＞
809,教養PEAK学部,教養学科国際日本研究コース
810,,学際科学科国際環境学コース
900,教育学部,総合教育科学＜基礎教育学／基礎教育学＞
900,,総合教育科学＜教育社会科学／比較教育社会学＞
900,,総合教育科学＜教育社会科学／教育実践・政策学＞
900,,総合教育科学＜心身発達科学／教育心理学＞
900,,総合教育科学＜心身発達科学／身体教育学＞
1000,薬学部,薬科学科・薬学科